IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,24774,10.215.173.2,53,10161,Сервисы Google Play,com.google.android.gms,DNS,Закрыто,mtalk.google.com,62,107,1,1,2026-09-18T22:27:48.520+03:00,2026-09-18T22:27:48.528+03:00
6,10.215.173.1,40274,66.102.1.188,5228,10161,Сервисы Google Play,com.google.android.gms,TLS,Закрыто,mtalk.google.com,2802,7346,12,12,2026-09-18T22:27:48.586+03:00,2026-09-18T22:28:49.367+03:00
6,10.215.173.1,57558,20.33.25.54,5222,10218,Xiaomi Service Framework,com.xiaomi.xmsf,TCP,Закрыто,,1041,511,8,8,2026-09-18T22:27:48.720+03:00,2026-09-18T22:28:49.367+03:00
17,10.215.173.1,51540,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,api.eu.amplitude.com,66,162,1,1,2026-09-18T22:28:00.477+03:00,2026-09-18T22:28:00.488+03:00
6,10.215.173.1,39454,52.29.93.141,443,10283,Nova Launcher,com.teslacoilsw.launcher,HTTPS,Закрыто,api.eu.amplitude.com,1788,4027,9,8,2026-09-18T22:28:00.491+03:00,2026-09-18T22:28:09.432+03:00
17,10.215.173.1,25559,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,pagead2.googlesyndication.com,75,139,1,1,2026-09-18T22:28:01.671+03:00,2026-09-18T22:28:01.686+03:00
17,10.215.173.1,62357,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,fonts.googleapis.com,66,82,1,1,2026-09-18T22:28:01.677+03:00,2026-09-18T22:28:01.688+03:00
17,10.215.173.1,15022,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,lh3.googleusercontent.com,71,116,1,1,2026-09-18T22:28:01.682+03:00,2026-09-18T22:28:01.689+03:00
17,10.215.173.1,25039,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,googleads.g.doubleclick.net,73,137,1,1,2026-09-18T22:28:01.684+03:00,2026-09-18T22:28:01.699+03:00
17,10.215.173.1,54066,142.251.127.154,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,pagead2.googlesyndication.com,6266,5183,14,20,2026-09-18T22:28:01.692+03:00,2026-09-18T22:28:01.916+03:00
6,10.215.173.1,48514,142.251.127.154,443,10283,Nova Launcher,com.teslacoilsw.launcher,HTTPS,Закрыто,pagead2.googlesyndication.com,2852,2794,12,8,2026-09-18T22:28:01.697+03:00,2026-09-18T22:28:09.432+03:00
17,10.215.173.1,39694,142.251.14.95,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,fonts.googleapis.com,4241,5570,8,10,2026-09-18T22:28:01.713+03:00,2026-09-18T22:28:01.857+03:00
17,10.215.173.1,44901,192.178.183.132,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,lh3.googleusercontent.com,2886,4130,6,7,2026-09-18T22:28:01.719+03:00,2026-09-18T22:28:01.857+03:00
17,10.215.173.1,58564,142.251.14.156,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,googleads.g.doubleclick.net,3940,4043,4,7,2026-09-18T22:28:01.724+03:00,2026-09-18T22:28:01.805+03:00
17,10.215.173.1,40641,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,pagead2.googleadservices.com,74,138,1,1,2026-09-18T22:28:01.732+03:00,2026-09-18T22:28:01.748+03:00
17,10.215.173.1,28306,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,www.gstatic.com,61,77,1,1,2026-09-18T22:28:01.736+03:00,2026-09-18T22:28:01.748+03:00
17,10.215.173.1,51807,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,www.googletagservices.com,71,135,1,1,2026-09-18T22:28:01.740+03:00,2026-09-18T22:28:01.753+03:00
17,10.215.173.1,32972,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,tpc.googlesyndication.com,71,87,1,1,2026-09-18T22:28:01.743+03:00,2026-09-18T22:28:01.755+03:00
17,10.215.173.1,20311,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,mediation.goog,60,124,1,1,2026-09-18T22:28:01.746+03:00,2026-09-18T22:28:01.766+03:00
17,10.215.173.1,45761,192.178.183.154,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,pagead2.googleadservices.com,7130,4692,11,11,2026-09-18T22:28:01.758+03:00,2026-09-18T22:28:01.905+03:00
17,10.215.173.1,49438,142.251.14.94,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,www.gstatic.com,2889,4117,6,7,2026-09-18T22:28:01.762+03:00,2026-09-18T22:28:01.885+03:00
17,10.215.173.1,51731,192.178.183.132,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,tpc.googlesyndication.com,4169,5468,7,9,2026-09-18T22:28:01.768+03:00,2026-09-18T22:28:01.893+03:00
6,10.215.173.1,53404,142.251.20.155,443,10283,Nova Launcher,com.teslacoilsw.launcher,HTTPS,Закрыто,mediation.goog,10755,3805,16,15,2026-09-18T22:28:01.771+03:00,2026-09-18T22:28:09.432+03:00
17,10.215.173.1,49076,142.251.20.155,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,mediation.goog,5199,4536,8,10,2026-09-18T22:28:01.773+03:00,2026-09-18T22:28:01.933+03:00
17,10.215.173.1,38469,142.251.14.156,443,10283,Nova Launcher,com.teslacoilsw.launcher,QUIC,Закрыто,www.googletagservices.com,2887,4130,6,7,2026-09-18T22:28:01.776+03:00,2026-09-18T22:28:01.901+03:00
17,10.215.173.1,37676,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,s1.2mdn.net,57,89,1,1,2026-09-18T22:28:01.779+03:00,2026-09-18T22:28:01.788+03:00
17,10.215.173.1,47836,10.215.173.2,53,10283,Nova Launcher,com.teslacoilsw.launcher,DNS,Закрыто,s0.2mdn.net,57,89,1,1,2026-09-18T22:28:01.782+03:00,2026-09-18T22:28:01.790+03:00
